FILIAL; DATA PROC; IDADE INI; IDADE FIM;SETOR LOJA   ;MERC ;DIGITO;STATUS;DESCRICAO ;EMBALAGEM ;DT VENC   ;TRIBUTACAO;LC;QTDE_IDEAL;DT PRECO IND;PRECO IND;DT ULT ENTR;CUSTO ULT ENTR;QTDE ULT ENTR;QTDE PED COMPRA;QTDE PED FILIAL;QTDE PED NF AT;ESTOQ EMB1;ESTOQ EMB9;CUSTO MEDIO;PRECO VENDA;PERC RENT;QTDE VENDA EMB1;IDADE;NAO VENDE;TP ETIQ;MIX;DT PRECO;EMB.INTERMEDIARIA;PAR;DIREITO DEVOLUCAO;GESTAO ISV;
 945;21/04/26;   0; 999;001-CERVEJAS/ REFRIGERANTES                                                                             ;544;135; ;CF.CHOCOLATE QUENTE PEQUENO        ;UND 1 X 1 1UND   ;; ; ;1;     ;0;          ;0;0;0;0;0;1;0;1,03;6,9;52,78;12;0;1;X; ;06/03/2026;;N;N;S;
 945;21/04/26;   0; 999;001-CERVEJAS/ REFRIGERANTES                                                                             ;69422;165; ;CERVEJA BADEN IPA P.MALTE MAR.LATA ;CXA 1 X 12 350ML  ;; ; ;280;     ;0;13/02/2026;59,46;10;0;0;5;0;1;59,46;65,88;3,19;2;67;3;C; ;13/02/2026;;N;N;S;
 945;21/04/26;   0; 999;001-CERVEJAS/ REFRIGERANTES                                                                             ;67653;145; ;CERVEJA BRAHMA DUPLO MALTE LATA    ;CXA 1 X 12 350ML  ;; ; ;280;     ;0;25/11/2025;49;280;0;0;0;0;6;49,28;52,68;-0,1;105;147;8;C; ;05/02/2026;;N;N;S;
 945;21/04/26;   0; 999;001-CERVEJAS/ REFRIGERANTES                                                                             ;86712;164; ;CERVEJA BADEN TRIGO PEACH LATA     ;CXA 1 X 12 350ML  ;; ; ;280;     ;0;12/03/2026;59,49;5;0;0;0;0;5;59,52;65,88;3,1;4;40;1;C; ;13/02/2026;; ; ;S;
 945;21/04/26;   0; 999;001-CERVEJAS/ REFRIGERANTES                                                                             ;3926;176; ;CERVEJA SOL ZERO LONG NECK         ;CXA 4 X 6 330ML  ;; ; ;91;     ;0;06/03/2026;110,36;7;0;0;0;0;6;110,18;138,97;14,16;3;46;15;C; ;09/04/2026;S; ; ;S;
 945;21/04/26;   0; 999;001-CERVEJAS/ REFRIGERANTES                                                                             ;18697;199; ;CERVEJA BRAHMA CHOPP LATA          ;PCT 1 X 12 350ML  ;; ; ;286;     ;0;05/03/2026;43,52;286;0;161;0;0;11;42,73;37,08;-21,78;8;47;14;C; ;16/04/2026;;N;N;S;
 945;21/04/26;   0; 999;001-CERVEJAS/ REFRIGERANTES                                                                             ;22941;135; ;REF.ANTARCTICA SODA LIMONADA PET   ;BDJ 1 X 6 2L     ;; ; ;100;25/08;459,66;06/03/2026;50,65;20;0;0;0;0;5;50,03;55,74;3,69;15;46;1;C; ;05/04/2026;;N;N;S;
 945;21/04/26;   0; 999;001-CERVEJAS/ REFRIGERANTES                                                                             ;78486;173; ;CERVEJA MICHELOB ULTRA LT          ;CXA 1 X 8 350ML  ;; ; ;400;     ;0;06/04/2026;37,28;80;0;0;0;1;2;37,32;35,12;-12,82;78;15;2;C; ;17/11/2024;; ; ;S;
 945;21/04/26;   0; 999;001-CERVEJAS/ REFRIGERANTES                                                                             ;78510;154; ;CERVEJA EISENBAHN UNFILTERED L.N   ;CXA 1 X 12 355ML  ;; ; ;175;     ;0;18/04/2026;53,79;1;0;0;0;1;0;53,64;57,48;0,12;6;3;28;C; ;13/04/2026;; ; ;S;
 945;21/04/26;   0; 999;001-CERVEJAS/ REFRIGERANTES                                                                             ;53350;197; ;REF.PEPSI COLA ZERO PET            ;CXA 1 X 6 2L     ;; ; ;100;     ;0;24/03/2026;49,51;8;0;0;0;1;1;49,1;55,73;5,33;14;28;15;C; ;13/03/2026;;N;N;S;
 945;21/04/26;   0; 999;001-CERVEJAS/ REFRIGERANTES                                                                             ;22044;104; ;CERVEJA CRYSTAL LATA               ;CXA 1 X 12 350ML  ;; ; ;308;     ;0;06/04/2026;31,62;66;0;0;30;1;11;30,99;27,48;-19,34;65;15;6;C; ;15/04/2026;S;N;N;S;
 945;21/04/26;   0; 999;001-CERVEJAS/ REFRIGERANTES                                                                             ;71299;161; ;REF.SPRITE LIMAO PET               ;PCT 1 X 12 200ML  ;; ; ;360;     ;0;23/02/2026;18,3;60;720;0;0;3;6;18,3;20,04;2,11;234;57;6;C; ;12/03/2026;; ; ;S;
